update_time,Nhiệt độ,Thời tiết,Độ ẩm,Hướng gió,location_id,location,scrape_timestamp
13h  25/01/2026,27°C,"Mây thay đổi, trời nắng",45.0,Lặng gió,39,Thời tiết Bắc Gia Nghĩa (Lâm Đồng),20260125_074744
,°C,,,,40,Thời tiết Vị Thanh (Tp Cần Thơ),20260125_074744
13h  25/01/2026,29°C,"Mây thay đổi, trời nắng",60.0,Gió đông đông bắc - tốc độ: 1 m/s,41,Thời tiết Rạch Giá (An Giang),20260125_074744
13h  25/01/2026,29°C,"Nhiều mây, không mưa",61.0,Gió tây nam - tốc độ: 1 m/s,42,Thời tiết Tân Thành (Cà Mau),20260125_074744
13h  25/01/2026,15°C,"Nhiều mây, không mưa",98.0,Lặng gió,43,Thời tiết Việt Trì (Phú Thọ),20260125_074744
13h  25/01/2026,16°C,"Nhiều mây, không mưa",90.0,Lặng gió,44,Thời tiết Vĩnh Phúc (Phú Thọ),20260125_074744
13h  25/01/2026,22°C,"Nhiều mây, không mưa",65.0,Gió tây bắc - tốc độ: 2 m/s,45,Thời tiết Tô Hiệu (Sơn La),20260125_074744
13h  25/01/2026,15°C,Có mưa phùn,95.0,Lặng gió,46,Thời tiết Bắc Giang (Bắc Ninh),20260125_074744
13h  25/01/2026,16°C,Có mưa phùn,97.0,Gió tây bắc - tốc độ: 1 m/s,47,Thời tiết Kinh Bắc (Bắc Ninh),20260125_074744
13h  25/01/2026,14°C,Có mưa phùn,97.0,Lặng gió,48,Thời tiết Lương Văn Tri (Lạng Sơn),20260125_074744
13h  25/01/2026,14°C,"Nhiều mây, không mưa",92.0,Gió nam đông nam - tốc độ: 1 m/s,49,Thời tiết Thục Phán (Cao Bằng),20260125_074744
13h  25/01/2026,16°C,"Nhiều mây, không mưa",91.0,Lặng gió,50,Thời tiết Minh Xuân (Tuyên Quang),20260125_074744
13h  25/01/2026,15°C,Có mưa phùn,98.0,Lặng gió,51,Thời tiết Phan Đình Phùng (Thái Nguyên),20260125_074744
13h  25/01/2026,16°C,"Nhiều mây, không mưa",94.0,Lặng gió,52,Thời tiết Bắc Kạn (Thái Nguyên),20260125_074744
13h  25/01/2026,16°C,"Nhiều mây, không mưa",90.0,Lặng gió,53,Thời tiết Yên Bái (Lào Cai),20260125_074744
13h  25/01/2026,20°C,"Nhiều mây, không mưa",81.0,Gió nam - tốc độ: 1 m/s,54,Thời tiết Lê Chân (Tp Hải Phòng),20260125_074744
13h  25/01/2026,25°C,"Nhiều mây, không mưa",60.0,Gió đông - tốc độ: 2 m/s,55,Thời tiết Hải Châu (Tp Đà Nẵng),20260125_074744
13h  25/01/2026,25°C,"Nhiều mây, không mưa",66.0,Gió đông bắc - tốc độ: 1 m/s,56,Thời tiết Quy Nhơn (Gia Lai),20260125_074744
13h  25/01/2026,30°C,"Nhiều mây, không mưa",59.0,Lặng gió,57,Thời tiết Long Châu (Vĩnh Long),20260125_074744
13h  25/01/2026,30°C,"Mây thay đổi, trời nắng",61.0,Gió đông - tốc độ: 1 m/s,58,Thời tiết Long Xuyên (An Giang),20260125_074744
13h  25/01/2026,27°C,"Nhiều mây, không mưa",67.0,Gió bắc đông bắc - tốc độ: 5 m/s,59,Thời tiết Tuy Hòa (Đắk Lắk),20260125_074744
13h  25/01/2026,29°C,"Ít mây, trời nắng",56.0,Gió bắc đông bắc - tốc độ: 6 m/s,60,Thời tiết Phan Rang (Khánh Hòa),20260125_074744
13h  25/01/2026,22°C,"Mây thay đổi, trời nắng",73.0,Gió đông nam - tốc độ: 1 m/s,61,Thời tiết Hạc Thành (Thanh Hóa),20260125_074744
13h  25/01/2026,26°C,"Nhiều mây, không mưa",71.0,Gió đông bắc - tốc độ: 1 m/s,62,Thời tiết Tam Kỳ (Tp Đà Nẵng),20260125_074744
13h  25/01/2026,18°C,"Nhiều mây, không mưa",85.0,Gió tây bắc - tốc độ: 1 m/s,63,Thời tiết Hạ Long (Quảng Ninh),20260125_074744
13h  25/01/2026,19°C,"Nhiều mây, không mưa",75.0,Gió đông - tốc độ: 3 m/s,64,Thời tiết Tân Phong (Lai Châu),20260125_074744
,°C,,,,65,Thời tiết Trường Sa,20260125_074744
,°C,,,,66,Thời tiết Hoàng Sa,20260125_074744
,°C,,,,67,Thời tiết Bạch Long Vĩ,20260125_074744
,°C,,,,68,Thời tiết Cồn Cỏ,20260125_074744
,°C,,,,69,Thời tiết Lý Sơn,20260125_074744
,°C,,,,70,Thời tiết Phú Quý,20260125_074744
,°C,,,,71,Thời tiết Côn Đảo,20260125_074744
,°C,,,,72,Thời tiết Phú Quốc,20260125_074744
,°C,,,,73,Thời tiết Cát Bà,20260125_074744
16h  25/01/2026,17°C,"Nhiều mây, không mưa",89.0,Gió đông bắc - tốc độ: 1 m/s,2,Thời tiết Hòa Bình (Phú Thọ),20260125_104148
16h  25/01/2026,22°C,"Ít mây, trời nắng",82.0,Gió đông đông nam - tốc độ: 1 m/s,3,Thời tiết Trường Vinh (Nghệ An),20260125_104148
16h  25/01/2026,24°C,"Ít mây, trời nắng",75.0,Gió đông bắc - tốc độ: 2 m/s,4,Thời tiết Thành Sen (Hà Tĩnh),20260125_104148
16h  25/01/2026,23°C,"Nhiều mây, không mưa",74.0,Gió đông - tốc độ: 2 m/s,5,Thời tiết Đồng Hới (Quảng Trị),20260125_104148
16h  25/01/2026,24°C,"Nhiều mây, không mưa",64.0,Gió đông đông nam - tốc độ: 3 m/s,6,Thời tiết Quảng Trị (Quảng Trị),20260125_104148
16h  25/01/2026,26°C,"Nhiều mây, không mưa",64.0,Gió đông đông nam - tốc độ: 3 m/s,7,Thời tiết Thuận Hóa (Tp Huế),20260125_104148
16h  25/01/2026,25°C,"Nhiều mây, không mưa",68.0,Gió đông đông bắc - tốc độ: 2 m/s,8,Thời tiết Cẩm Thành (Quảng Ngãi),20260125_104148
16h  25/01/2026,24°C,"Nhiều mây, không mưa",81.0,Gió đông đông bắc - tốc độ: 7 m/s,9,Thời tiết Nha Trang (Khánh Hòa),20260125_104148
16h  25/01/2026,26°C,"Mây thay đổi, trời nắng",79.0,Gió nam đông nam - tốc độ: 4 m/s,10,Thời tiết Phan Thiết (Lâm Đồng),20260125_104148
13h  25/01/2026,27°C,"Mây thay đổi, trời nắng",43.0,Gió đông nam - tốc độ: 2 m/s,11,Thời tiết Kon Tum (Quảng Ngãi),20260125_104148
16h  25/01/2026,28°C,"Nhiều mây, không mưa",45.0,Lặng gió,12,Thời tiết Pleiku (Gia Lai),20260125_104148
16h  25/01/2026,27°C,"Nhiều mây, không mưa",45.0,Gió đông - tốc độ: 2 m/s,13,Thời tiết Buôn Ma Thuột (Đắk Lắk),20260125_104148
16h  25/01/2026,20°C,"Mây thay đổi, trời nắng",58.0,Lặng gió,14,Thời tiết Xuân Hương - Đà Lạt  (Lâm Đồng),20260125_104148
16h  25/01/2026,29°C,"Ít mây, trời nắng",62.0,Gió nam tây nam - tốc độ: 3 m/s,15,Thời tiết Sài Gòn (Tp Hồ Chí Minh),20260125_104148
13h  25/01/2026,31°C,"Ít mây, trời nắng",49.0,Lặng gió,16,Thời tiết Bình Dương (Tp Hồ Chí Minh),20260125_104148
16h  25/01/2026,20°C,"Nhiều mây, không mưa",74.0,Gió đông đông bắc - tốc độ: 1 m/s,17,Thời tiết Hoa Lư (Ninh Bình),20260125_104148
16h  25/01/2026,20°C,"Nhiều mây, không mưa",87.0,Lặng gió,18,Thời tiết Thái Bình (Hưng Yên),20260125_104148
16h  25/01/2026,19°C,"Nhiều mây, không mưa",89.0,Gió đông đông bắc - tốc độ: 1 m/s,19,Thời tiết Hải Dương (Tp Hải Phòng),20260125_104148
16h  25/01/2026,19°C,"Nhiều mây, không mưa",82.0,Gió tây - tốc độ: 1 m/s,20,Thời tiết Phủ Lý (Ninh Bình),20260125_104148
16h  25/01/2026,30°C,"Nhiều mây, không mưa",57.0,Lặng gió,21,Thời tiết Long An (Tây Ninh),20260125_104148
16h  25/01/2026,30°C,"Nhiều mây, không mưa",48.0,Gió bắc - tốc độ: 2 m/s,22,Thời tiết Cao Lãnh (Đồng Tháp),20260125_104148
16h  25/01/2026,29°C,"Nhiều mây, không mưa",55.0,Gió nam đông nam - tốc độ: 3 m/s,23,Thời tiết Mỹ Tho (Đồng Tháp),20260125_104148
16h  25/01/2026,28°C,"Mây thay đổi, trời nắng",64.0,Gió đông nam - tốc độ: 3 m/s,24,Thời tiết Bến Tre (Vĩnh Long),20260125_104148
16h  25/01/2026,29°C,"Mây thay đổi, trời nắng",61.0,Gió đông đông nam - tốc độ: 2 m/s,25,Thời tiết Trà Vinh (Vĩnh Long),20260125_104148
16h  25/01/2026,30°C,"Mây thay đổi, trời nắng",61.0,Gió đông bắc - tốc độ: 1 m/s,26,Thời tiết Ninh Kiều (Tp Cần Thơ),20260125_104148
16h  25/01/2026,30°C,"Nhiều mây, không mưa",56.0,Lặng gió,27,Thời tiết Sóc Trăng (Tp Cần Thơ),20260125_104148
16h  25/01/2026,18°C,"Nhiều mây, không mưa",83.0,Gió bắc - tốc độ: 2 m/s,28,Thời tiết Hoàn Kiếm (Tp Hà Nội),20260125_104148
16h  25/01/2026,28°C,"Nhiều mây, không mưa",70.0,Gió đông đông nam - tốc độ: 3 m/s,29,Thời tiết Bạc Liêu (Cà Mau),20260125_104148
13h  25/01/2026,30°C,"Mây thay đổi, trời nắng",42.0,Gió đông bắc - tốc độ: 2 m/s,30,Thời tiết Phước Long (Đồng Nai),20260125_104148
16h  25/01/2026,27°C,"Nhiều mây, không mưa",62.0,Gió đông đông nam - tốc độ: 3 m/s,31,Thời tiết Vũng Tàu (Tp Hồ Chí Minh),20260125_104148
13h  25/01/2026,31°C,"Nhiều mây, không mưa",48.0,Gió đông bắc - tốc độ: 2 m/s,32,Thời tiết Biên Hòa (Đồng Nai),20260125_104148
16h  25/01/2026,19°C,"Nhiều mây, không mưa",84.0,Lặng gió,33,Thời tiết Phố Hiến (Hưng Yên),20260125_104148
16h  25/01/2026,20°C,"Nhiều mây, không mưa",83.0,Lặng gió,34,Thời tiết Nam Định (Ninh Bình),20260125_104148
16h  25/01/2026,32°C,"Nhiều mây, không mưa",43.0,Lặng gió,35,Thời tiết Tây Ninh (Tây Ninh),20260125_104148
16h  25/01/2026,16°C,"Nhiều mây, không mưa",85.0,Lặng gió,36,Thời tiết Hà Giang (Tuyên Quang),20260125_104148
16h  25/01/2026,18°C,"Nhiều mây, không mưa",72.0,Gió đông - tốc độ: 1 m/s,37,Thời tiết Lào Cai (Lào Cai),20260125_104148
16h  25/01/2026,28°C,"Ít mây, trời nắng",45.0,Gió nam - tốc độ: 2 m/s,38,Thời tiết Mường Thanh (Điện Biên),20260125_104148
16h  25/01/2026,28°C,"Nhiều mây, không mưa",43.0,Lặng gió,39,Thời tiết Bắc Gia Nghĩa (Lâm Đồng),20260125_104148
,°C,,,,40,Thời tiết Vị Thanh (Tp Cần Thơ),20260125_104148
16h  25/01/2026,29°C,"Mây thay đổi, trời nắng",61.0,Gió đông đông nam - tốc độ: 1 m/s,41,Thời tiết Rạch Giá (An Giang),20260125_104148
16h  25/01/2026,29°C,"Nhiều mây, không mưa",61.0,Gió bắc tây bắc - tốc độ: 1 m/s,42,Thời tiết Tân Thành (Cà Mau),20260125_104148
13h  25/01/2026,15°C,"Nhiều mây, không mưa",98.0,Lặng gió,43,Thời tiết Việt Trì (Phú Thọ),20260125_104148
16h  25/01/2026,17°C,"Nhiều mây, không mưa",89.0,Lặng gió,44,Thời tiết Vĩnh Phúc (Phú Thọ),20260125_104148
16h  25/01/2026,23°C,"Ít mây, trời nắng",54.0,Gió bắc - tốc độ: 2 m/s,45,Thời tiết Tô Hiệu (Sơn La),20260125_104148
16h  25/01/2026,18°C,"Nhiều mây, không mưa",84.0,Lặng gió,46,Thời tiết Bắc Giang (Bắc Ninh),20260125_104148
16h  25/01/2026,18°C,"Nhiều mây, không mưa",91.0,Gió bắc đông bắc - tốc độ: 1 m/s,47,Thời tiết Kinh Bắc (Bắc Ninh),20260125_104148
16h  25/01/2026,18°C,"Nhiều mây, không mưa",89.0,Lặng gió,48,Thời tiết Lương Văn Tri (Lạng Sơn),20260125_104148
16h  25/01/2026,15°C,"Nhiều mây, không mưa",92.0,Gió đông - tốc độ: 2 m/s,49,Thời tiết Thục Phán (Cao Bằng),20260125_104148
16h  25/01/2026,16°C,"Nhiều mây, không mưa",86.0,Lặng gió,50,Thời tiết Minh Xuân (Tuyên Quang),20260125_104148
16h  25/01/2026,15°C,Có mưa phùn,96.0,Lặng gió,51,Thời tiết Phan Đình Phùng (Thái Nguyên),20260125_104148
16h  25/01/2026,16°C,"Nhiều mây, không mưa",92.0,Lặng gió,52,Thời tiết Bắc Kạn (Thái Nguyên),20260125_104148
16h  25/01/2026,16°C,"Nhiều mây, không mưa",91.0,Lặng gió,53,Thời tiết Yên Bái (Lào Cai),20260125_104148
16h  25/01/2026,20°C,"Nhiều mây, không mưa",83.0,Lặng gió,54,Thời tiết Lê Chân (Tp Hải Phòng),20260125_104148
16h  25/01/2026,25°C,"Mây thay đổi, trời nắng",68.0,Gió đông - tốc độ: 2 m/s,55,Thời tiết Hải Châu (Tp Đà Nẵng),20260125_104148
16h  25/01/2026,26°C,"Nhiều mây, không mưa",66.0,Gió bắc đông bắc - tốc độ: 1 m/s,56,Thời tiết Quy Nhơn (Gia Lai),20260125_104148
13h  25/01/2026,30°C,"Nhiều mây, không mưa",59.0,Lặng gió,57,Thời tiết Long Châu (Vĩnh Long),20260125_104148
13h  25/01/2026,30°C,"Mây thay đổi, trời nắng",61.0,Gió đông - tốc độ: 1 m/s,58,Thời tiết Long Xuyên (An Giang),20260125_104148
16h  25/01/2026,26°C,"Mây thay đổi, trời nắng",78.0,Gió bắc - tốc độ: 3 m/s,59,Thời tiết Tuy Hòa (Đắk Lắk),20260125_104148
16h  25/01/2026,28°C,"Ít mây, trời nắng",60.0,Gió đông bắc - tốc độ: 6 m/s,60,Thời tiết Phan Rang (Khánh Hòa),20260125_104148
16h  25/01/2026,22°C,"Ít mây, trời nắng",73.0,Gió nam đông nam - tốc độ: 2 m/s,61,Thời tiết Hạc Thành (Thanh Hóa),20260125_104148
16h  25/01/2026,24°C,"Nhiều mây, không mưa",75.0,Gió đông - tốc độ: 2 m/s,62,Thời tiết Tam Kỳ (Tp Đà Nẵng),20260125_104148
16h  25/01/2026,20°C,"Nhiều mây, không mưa",82.0,Gió nam đông nam - tốc độ: 2 m/s,63,Thời tiết Hạ Long (Quảng Ninh),20260125_104148
16h  25/01/2026,23°C,"Ít mây, trời nắng",46.0,Gió đông nam - tốc độ: 2 m/s,64,Thời tiết Tân Phong (Lai Châu),20260125_104148
,°C,,,,65,Thời tiết Trường Sa,20260125_104148
,°C,,,,66,Thời tiết Hoàng Sa,20260125_104148
,°C,,,,67,Thời tiết Bạch Long Vĩ,20260125_104148
,°C,,,,68,Thời tiết Cồn Cỏ,20260125_104148
,°C,,,,69,Thời tiết Lý Sơn,20260125_104148
,°C,,,,70,Thời tiết Phú Quý,20260125_104148
,°C,,,,71,Thời tiết Côn Đảo,20260125_104148
,°C,,,,72,Thời tiết Phú Quốc,20260125_104148
,°C,,,,73,Thời tiết Cát Bà,20260125_104148
19h  25/01/2026,15°C,"Nhiều mây, không mưa",93.0,Lặng gió,2,Thời tiết Hòa Bình (Phú Thọ),20260125_130531
19h  25/01/2026,21°C,Đêm có mây,91.0,Gió đông đông nam - tốc độ: 2 m/s,3,Thời tiết Trường Vinh (Nghệ An),20260125_130531
19h  25/01/2026,22°C,Đêm có mây,87.0,Gió đông đông nam - tốc độ: 2 m/s,4,Thời tiết Thành Sen (Hà Tĩnh),20260125_130531
19h  25/01/2026,22°C,Đêm nhiều mây,83.0,Gió nam đông nam - tốc độ: 2 m/s,5,Thời tiết Đồng Hới (Quảng Trị),20260125_130531
19h  25/01/2026,22°C,Đêm nhiều mây,83.0,Lặng gió,6,Thời tiết Quảng Trị (Quảng Trị),20260125_130531
19h  25/01/2026,23°C,Đêm nhiều mây,79.0,Gió đông đông nam - tốc độ: 1 m/s,7,Thời tiết Thuận Hóa (Tp Huế),20260125_130531
19h  25/01/2026,24°C,Đêm nhiều mây,80.0,Lặng gió,8,Thời tiết Cẩm Thành (Quảng Ngãi),20260125_130531
19h  25/01/2026,24°C,Đêm nhiều mây,76.0,Gió bắc - tốc độ: 1 m/s,9,Thời tiết Nha Trang (Khánh Hòa),20260125_130531
19h  25/01/2026,25°C,Đêm nhiều mây,79.0,Gió đông đông nam - tốc độ: 3 m/s,10,Thời tiết Phan Thiết (Lâm Đồng),20260125_130531
19h  25/01/2026,24°C,Đêm có mây,60.0,Gió đông nam - tốc độ: 1 m/s,11,Thời tiết Kon Tum (Quảng Ngãi),20260125_130531
19h  25/01/2026,19°C,Đêm nhiều mây,75.0,Lặng gió,12,Thời tiết Pleiku (Gia Lai),20260125_130531
19h  25/01/2026,22°C,Đêm nhiều mây,73.0,Gió đông bắc - tốc độ: 2 m/s,13,Thời tiết Buôn Ma Thuột (Đắk Lắk),20260125_130531
19h  25/01/2026,16°C,Đêm nhiều mây,77.0,Lặng gió,14,Thời tiết Xuân Hương - Đà Lạt  (Lâm Đồng),20260125_130531
19h  25/01/2026,26°C,Đêm nhiều mây,74.0,Gió đông nam - tốc độ: 3 m/s,15,Thời tiết Sài Gòn (Tp Hồ Chí Minh),20260125_130531
19h  25/01/2026,27°C,Đêm có mây,67.0,Gió nam đông nam - tốc độ: 2 m/s,16,Thời tiết Bình Dương (Tp Hồ Chí Minh),20260125_130531
19h  25/01/2026,19°C,Đêm nhiều mây,81.0,Lặng gió,17,Thời tiết Hoa Lư (Ninh Bình),20260125_130531
19h  25/01/2026,19°C,Đêm nhiều mây,93.0,Gió đông - tốc độ: 1 m/s,18,Thời tiết Thái Bình (Hưng Yên),20260125_130531
19h  25/01/2026,18°C,"Nhiều mây, không mưa",95.0,Gió tây tây bắc - tốc độ: 1 m/s,19,Thời tiết Hải Dương (Tp Hải Phòng),20260125_130531
19h  25/01/2026,18°C,Đêm nhiều mây,86.0,Gió tây bắc - tốc độ: 2 m/s,20,Thời tiết Phủ Lý (Ninh Bình),20260125_130531
19h  25/01/2026,28°C,Đêm nhiều mây,67.0,Lặng gió,21,Thời tiết Long An (Tây Ninh),20260125_130531
19h  25/01/2026,27°C,Đêm nhiều mây,63.0,Lặng gió,22,Thời tiết Cao Lãnh (Đồng Tháp),20260125_130531
19h  25/01/2026,25°C,Đêm nhiều mây,76.0,Gió đông đông nam - tốc độ: 2 m/s,23,Thời tiết Mỹ Tho (Đồng Tháp),20260125_130531
19h  25/01/2026,24°C,Đêm nhiều mây,86.0,Gió đông đông nam - tốc độ: 1 m/s,24,Thời tiết Bến Tre (Vĩnh Long),20260125_130531
19h  25/01/2026,25°C,Đêm nhiều mây,80.0,Gió đông - tốc độ: 1 m/s,25,Thời tiết Trà Vinh (Vĩnh Long),20260125_130531
19h  25/01/2026,27°C,Đêm có mây,69.0,Gió đông nam - tốc độ: 1 m/s,26,Thời tiết Ninh Kiều (Tp Cần Thơ),20260125_130531
